EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,JobSatisfaction,WorkLifeBalance,PerformanceRating,EducationField
198,53,Male,Finance,Analyst,10464,15,7,1,3,No,3,4,4,Life Sciences
200,54,Male,HR,HR Specialist,9286,7,5,2,13,No,2,3,4,Human Resources
203,32,Female,Finance,HR Specialist,8848,19,0,9,9,No,3,3,1,Other
205,46,Female,Sales,Sales Executive,5345,11,1,2,10,No,3,1,3,Other
206,44,Female,Sales,Sales Executive,9680,10,3,1,5,No,1,3,3,Human Resources
207,52,Male,IT,Manager,11770,4,2,2,8,Yes,3,3,1,Other
208,51,Male,IT,Analyst,15787,19,8,1,8,No,1,1,4,Technical Degree
209,56,Female,Finance,Sales Executive,13863,19,0,2,7,Yes,3,3,1,Marketing
211,37,Male,Finance,Manager,8256,8,8,6,11,Yes,3,1,1,Medical
212,47,Male,Sales,Sales Executive,9551,17,8,1,1,No,3,1,1,Technical Degree
213,23,Female,Sales,HR Specialist,19662,11,5,1,11,No,1,2,3,Life Sciences
216,26,Male,IT,Analyst,5318,19,12,7,0,No,3,1,3,Technical Degree
217,58,Male,Finance,HR Specialist,7536,10,6,3,11,No,3,4,2,Other
219,30,Male,IT,Developer,17462,11,2,2,13,Yes,4,2,1,Human Resources
220,56,Male,HR,Developer,16581,8,4,8,5,No,4,3,2,Marketing
222,37,Male,R&D,Research Scientist,6226,6,3,9,13,No,4,1,1,Life Sciences
224,41,Female,Sales,Manager,18272,17,8,6,13,No,2,4,4,Other
225,45,Male,Sales,HR Specialist,5819,12,3,2,5,No,4,4,3,Medical
227,45,Male,Sales,Sales Executive,13258,18,13,0,0,No,1,2,1,Other
228,32,Female,R&D,Manager,19808,3,1,8,0,Yes,3,3,3,Marketing
229,29,Female,R&D,Research Scientist,5105,3,0,5,0,No,4,3,3,Life Sciences
230,57,Male,IT,Manager,18907,12,2,0,9,No,2,4,4,Technical Degree
231,59,Female,HR,Manager,12875,10,1,8,14,No,2,4,2,Human Resources
234,46,Male,IT,Sales Executive,15253,11,5,4,13,No,4,1,4,Marketing
237,50,Male,IT,Analyst,13001,19,3,7,1,No,2,2,4,Human Resources
238,39,Female,HR,Developer,3234,8,3,2,3,No,4,4,3,Human Resources
240,23,Female,Finance,Research Scientist,8128,8,3,6,3,No,1,3,1,Medical
241,56,Male,Finance,Sales Executive,11159,11,0,3,4,Yes,1,4,1,Marketing
243,57,Male,Finance,Research Scientist,3226,16,2,6,2,No,4,4,1,Medical
244,54,Female,Sales,Manager,9160,19,3,1,2,Yes,3,3,1,Other
246,54,Female,Sales,Manager,13007,12,0,6,5,Yes,1,2,3,Marketing
247,35,Female,R&D,Analyst,8357,14,4,2,6,No,1,2,3,Technical Degree
250,29,Male,Sales,Analyst,13037,8,0,7,14,No,1,2,4,Human Resources
252,24,Male,IT,Research Scientist,8420,11,11,8,4,No,4,2,3,Marketing
254,54,Female,Finance,Analyst,4813,1,1,1,5,No,1,3,2,Life Sciences
255,33,Male,HR,Manager,12779,10,9,7,0,No,4,4,4,Medical
258,51,Male,Sales,Research Scientist,4526,17,8,0,13,No,2,1,4,Technical Degree
259,59,Female,IT,Sales Executive,14759,10,3,8,12,No,3,1,3,Technical Degree
262,48,Male,Finance,Developer,6614,13,2,5,5,No,2,4,4,Marketing
263,48,Female,R&D,Research Scientist,5149,18,11,8,7,No,2,4,3,Marketing
265,42,Female,IT,Sales Executive,17015,19,10,8,14,No,2,3,4,Human Resources
266,51,Female,HR,Developer,5696,18,6,7,3,No,3,1,3,Medical
267,54,Male,R&D,Developer,15626,9,5,6,10,Yes,1,3,2,Marketing
268,49,Female,R&D,Analyst,17519,13,10,1,6,No,4,1,4,Life Sciences
270,26,Female,R&D,Analyst,15025,11,7,1,11,No,1,1,4,Other
271,40,Male,R&D,HR Specialist,4305,18,8,8,12,No,1,3,3,Life Sciences
273,56,Male,Finance,Manager,3716,14,14,1,11,No,3,2,4,Technical Degree
275,49,Male,Finance,Research Scientist,14183,7,5,8,7,Yes,4,2,1,Other
276,51,Female,Finance,Research Scientist,11505,13,13,3,0,Yes,2,1,1,Medical
279,56,Male,IT,Manager,12079,10,8,2,10,No,4,4,3,Medical
281,45,Female,Sales,Developer,7029,16,7,0,14,No,2,2,3,Other
282,50,Female,Finance,Analyst,6063,18,5,2,7,No,1,4,2,Technical Degree
285,54,Male,Sales,Research Scientist,13379,9,5,9,10,No,3,2,2,Medical
287,53,Female,Sales,Analyst,6892,9,5,9,7,Yes,2,1,2,Human Resources
288,44,Female,Finance,Analyst,12562,1,1,3,8,No,2,2,2,Other
291,39,Male,R&D,HR Specialist,5454,11,4,1,8,No,3,4,2,Human Resources
293,52,Male,IT,Research Scientist,7957,8,2,7,0,Yes,2,3,1,Medical
294,24,Female,IT,Research Scientist,9292,11,8,3,6,No,4,1,2,Technical Degree
295,45,Female,Sales,Manager,11696,10,10,8,7,No,2,4,2,Life Sciences
296,53,Male,R&D,Manager,14959,11,9,2,5,No,4,4,4,Other
301,23,Female,IT,HR Specialist,11892,10,8,1,9,No,1,1,4,Technical Degree
304,54,Female,HR,HR Specialist,16095,10,6,4,3,No,1,3,1,Technical Degree
305,30,Male,Sales,Sales Executive,8221,11,11,5,4,No,4,2,4,Life Sciences
306,50,Female,R&D,Sales Executive,18471,18,7,6,9,Yes,2,4,3,Marketing
307,47,Male,R&D,Research Scientist,6677,19,13,3,3,No,4,4,4,Medical
310,45,Female,IT,Research Scientist,10334,17,4,6,5,Yes,2,2,2,Marketing
312,28,Male,HR,HR Specialist,8164,14,9,4,10,No,4,3,4,Technical Degree
313,57,Female,Finance,Research Scientist,12033,17,13,6,1,No,4,4,4,Other
314,41,Female,HR,Manager,17889,7,5,3,6,No,2,2,2,Human Resources
316,29,Female,Finance,Manager,9543,12,7,2,11,No,1,4,3,Technical Degree
317,37,Male,R&D,Analyst,8570,14,13,7,14,No,1,2,3,Life Sciences
319,33,Male,IT,Manager,14023,15,6,3,10,No,1,3,4,Human Resources
320,44,Female,HR,HR Specialist,15712,10,0,3,9,No,3,3,3,Technical Degree
321,36,Female,HR,Sales Executive,4029,12,9,0,1,No,1,4,4,Medical
322,49,Male,IT,Sales Executive,10755,6,3,7,6,No,3,2,1,Marketing
323,55,Male,Sales,Manager,3553,17,12,4,1,No,2,2,4,Life Sciences
324,23,Male,HR,Manager,19651,7,7,8,8,No,1,2,2,Life Sciences
327,43,Male,R&D,HR Specialist,7159,9,8,3,12,No,3,3,4,Life Sciences
329,43,Male,HR,HR Specialist,11661,6,5,9,12,No,2,1,3,Medical
331,27,Male,R&D,Analyst,13215,7,3,1,14,Yes,2,1,1,Marketing
332,36,Male,HR,Sales Executive,12781,18,1,5,1,No,2,3,4,Other
333,58,Male,Sales,HR Specialist,18951,11,11,3,0,Yes,2,4,4,Technical Degree
334,54,Male,Sales,Developer,8313,9,8,5,14,Yes,4,1,1,Technical Degree
335,29,Male,Finance,Analyst,18047,13,0,0,12,No,4,4,2,Medical
336,26,Female,Sales,Manager,13252,11,4,0,1,No,3,4,3,Human Resources
337,25,Male,HR,Research Scientist,7317,19,7,3,9,No,1,3,2,Other
338,27,Female,HR,Sales Executive,12611,3,3,6,5,No,1,4,2,Human Resources
339,53,Female,IT,Research Scientist,3838,18,0,6,4,No,2,1,2,Other
340,51,Female,Sales,Analyst,11461,6,3,0,11,No,4,1,1,Medical
342,37,Male,R&D,Analyst,7827,7,4,5,0,No,2,4,3,Other
345,40,Male,R&D,Manager,5075,0,0,5,11,No,1,1,3,Human Resources
347,40,Male,Sales,HR Specialist,17190,3,1,4,5,Yes,1,1,1,Technical Degree
348,49,Male,IT,Sales Executive,18084,10,5,8,4,Yes,4,4,1,Marketing
354,33,Male,R&D,HR Specialist,11995,12,6,5,4,No,4,1,4,Life Sciences
355,22,Female,Sales,Analyst,17563,18,12,7,10,No,4,1,2,Human Resources
358,53,Female,IT,Manager,9521,16,12,1,12,No,1,1,1,Life Sciences
361,37,Female,HR,Sales Executive,5696,19,8,2,13,No,3,2,4,Technical Degree
363,43,Female,HR,HR Specialist,16463,17,0,4,10,No,3,1,2,Other
364,50,Male,HR,Sales Executive,8796,14,2,9,5,No,4,4,1,Life Sciences
365,24,Female,Sales,Sales Executive,3808,15,1,0,4,Yes,1,4,4,Technical Degree
368,37,Male,Finance,Developer,12497,9,6,6,7,No,4,2,4,Life Sciences
371,50,Male,R&D,Sales Executive,10571,13,12,4,7,No,4,3,1,Marketing
372,35,Female,Sales,Manager,17171,16,11,3,8,No,2,4,4,Marketing
373,49,Female,Sales,Sales Executive,18323,2,1,3,7,No,4,1,4,Marketing
375,51,Male,IT,Manager,12717,17,5,5,14,No,3,2,2,Human Resources
376,26,Male,IT,Sales Executive,18411,16,1,9,8,No,1,4,4,Medical
377,33,Male,Sales,HR Specialist,9237,12,2,6,14,Yes,4,1,2,Medical
378,37,Male,HR,HR Specialist,12791,18,0,4,8,Yes,4,3,3,Marketing
379,47,Male,R&D,Manager,12236,9,5,8,7,No,2,2,3,Marketing
380,47,Female,Finance,HR Specialist,13345,3,1,8,13,No,2,2,1,Medical
381,42,Female,IT,Research Scientist,17159,16,2,0,6,No,4,3,3,Technical Degree
382,57,Male,HR,Research Scientist,8319,15,5,4,14,Yes,4,4,3,Life Sciences
383,54,Female,IT,Research Scientist,4375,18,5,1,14,No,3,1,4,Medical
384,51,Female,HR,Developer,11130,13,3,3,12,No,4,3,4,Medical
385,58,Female,R&D,Sales Executive,9992,19,0,6,6,No,3,3,3,Life Sciences
386,44,Female,R&D,Developer,16850,14,6,9,11,No,1,2,4,Life Sciences
387,31,Female,R&D,HR Specialist,16235,18,14,5,0,No,1,3,4,Human Resources
388,26,Female,Sales,Manager,7949,2,1,6,14,Yes,4,4,1,Other
389,57,Male,HR,Research Scientist,9572,19,5,2,14,No,4,2,4,Medical
390,55,Male,Finance,Manager,16730,19,6,4,6,Yes,1,3,1,Life Sciences
391,52,Male,Finance,Developer,15589,15,13,5,14,Yes,3,3,4,Other
392,31,Female,R&D,HR Specialist,7166,6,1,5,9,No,3,4,1,Medical
393,40,Male,Finance,Sales Executive,13114,17,14,5,5,No,4,1,1,Life Sciences
394,53,Male,IT,HR Specialist,3645,7,5,8,13,No,4,1,2,Marketing
395,22,Male,HR,Research Scientist,8884,13,0,5,11,Yes,3,1,1,Other
396,26,Female,HR,HR Specialist,15461,17,5,1,0,Yes,2,2,4,Marketing
398,37,Female,IT,Analyst,17703,19,7,3,12,Yes,4,1,3,Marketing
400,37,Male,IT,Sales Executive,14470,12,3,5,7,Yes,3,3,1,Medical
402,49,Female,HR,Research Scientist,3550,18,4,9,10,No,1,1,4,Technical Degree
404,48,Female,Finance,Research Scientist,16550,15,13,7,1,No,4,2,4,Marketing
405,41,Female,Sales,Manager,8581,13,3,4,12,No,2,1,1,Life Sciences
407,33,Male,HR,Manager,6479,6,2,2,10,No,4,1,2,Other
408,56,Male,R&D,HR Specialist,12137,19,8,2,6,No,3,2,4,Human Resources
409,54,Female,Sales,Analyst,9091,19,1,6,13,No,1,1,3,Technical Degree
410,54,Female,R&D,Research Scientist,5633,14,5,5,11,No,4,3,3,Other
413,24,Male,Sales,HR Specialist,3889,16,4,7,12,No,2,3,4,Marketing
414,22,Female,Sales,Manager,11765,15,14,4,0,No,4,1,3,Technical Degree
417,50,Female,R&D,Manager,13156,19,14,9,8,No,2,2,3,Human Resources
418,34,Male,Finance,Developer,7051,18,5,4,12,No,1,1,4,Technical Degree
420,52,Female,R&D,Manager,9197,13,6,2,7,No,3,2,2,Technical Degree
421,23,Female,Sales,Research Scientist,16532,18,3,0,1,No,3,4,4,Marketing
423,44,Female,HR,Manager,7984,12,3,6,7,No,2,4,4,Marketing
425,47,Male,IT,Manager,16414,8,8,0,10,No,4,2,2,Medical
426,29,Female,Finance,Research Scientist,9837,19,3,3,8,Yes,2,3,1,Medical
428,47,Male,IT,Manager,10275,9,9,6,6,Yes,3,2,3,Marketing
430,47,Male,HR,Sales Executive,6577,5,0,3,14,No,3,3,3,Technical Degree
431,55,Male,R&D,Developer,17739,15,3,2,1,No,3,2,2,Medical
432,28,Male,Sales,Analyst,14590,19,1,5,7,No,3,1,4,Life Sciences
434,32,Female,IT,Manager,18437,11,9,4,3,No,1,3,1,Medical
436,57,Female,HR,Sales Executive,14023,17,1,8,4,Yes,4,1,1,Marketing
439,57,Male,HR,Research Scientist,13619,18,6,7,12,No,2,1,2,Technical Degree
440,31,Female,HR,Manager,11068,17,14,6,4,No,4,4,1,Marketing
443,45,Male,Sales,HR Specialist,8353,18,3,5,8,Yes,3,4,1,Medical
446,57,Female,IT,Research Scientist,11521,9,4,4,3,No,4,2,2,Other
447,39,Male,Sales,Manager,13081,17,2,3,0,No,3,1,2,Other
450,44,Male,Sales,Developer,13059,16,14,4,14,No,1,3,4,Human Resources
451,53,Female,HR,Sales Executive,13707,16,4,8,11,No,1,4,1,Life Sciences
452,58,Female,Finance,HR Specialist,3412,11,8,7,13,No,4,1,4,Life Sciences
453,33,Female,Sales,Research Scientist,9639,16,11,1,5,No,4,2,4,Human Resources
454,34,Male,Finance,Sales Executive,6833,12,12,6,10,No,2,4,2,Technical Degree
457,56,Male,Finance,Sales Executive,13467,14,3,2,6,No,4,3,2,Other
458,51,Female,R&D,Sales Executive,15032,18,6,0,8,No,3,1,3,Human Resources
459,38,Female,HR,Manager,18126,8,0,1,3,No,4,1,2,Marketing
460,41,Female,Finance,Analyst,5882,16,14,2,3,No,4,3,2,Marketing
461,46,Female,Finance,HR Specialist,14935,14,14,4,4,Yes,4,4,4,Life Sciences
462,43,Female,HR,HR Specialist,5519,1,1,5,11,No,4,4,4,Human Resources
465,57,Male,IT,Manager,11846,7,2,4,14,No,1,2,2,Other
468,33,Female,Finance,HR Specialist,3764,4,4,8,3,No,3,1,3,Other
469,30,Male,Sales,Research Scientist,13558,7,6,2,13,Yes,1,1,4,Marketing
472,35,Female,R&D,Developer,9799,16,8,1,13,Yes,2,3,1,Marketing
477,56,Female,HR,Research Scientist,12374,12,12,7,10,No,1,4,1,Other
479,46,Male,Sales,Developer,5453,13,7,0,1,No,3,4,3,Life Sciences
480,42,Male,HR,Analyst,3538,18,3,4,6,No,1,4,1,Human Resources
481,57,Female,Finance,Research Scientist,13615,13,6,7,4,No,1,2,3,Life Sciences
484,35,Female,IT,Developer,4335,8,7,6,8,No,2,4,4,Human Resources
486,26,Male,HR,Developer,9615,9,0,0,7,No,4,4,2,Marketing
487,56,Female,Finance,Research Scientist,11691,17,4,8,10,No,4,2,1,Medical
489,50,Male,Finance,Developer,6713,13,12,1,4,No,4,3,4,Life Sciences
490,32,Male,R&D,HR Specialist,6704,14,2,3,0,No,4,3,1,Marketing
491,39,Male,Finance,Sales Executive,4210,9,8,9,11,No,4,4,3,Medical
493,30,Female,HR,Analyst,19098,7,2,8,14,Yes,1,1,2,Medical
496,59,Female,IT,Sales Executive,18816,13,11,3,11,Yes,3,1,1,Medical
498,34,Male,Finance,Developer,16218,4,1,4,7,No,2,3,2,Other
499,30,Female,Sales,Developer,9110,18,4,3,4,No,1,1,3,Life Sciences
500,48,Male,Finance,Sales Executive,4817,11,3,3,13,No,4,2,3,Other
501,23,Female,Sales,Sales Executive,9613,14,14,7,3,No,4,3,4,Life Sciences
505,59,Female,HR,Manager,5877,12,7,9,12,No,2,3,3,Technical Degree
506,40,Male,IT,Manager,7087,13,3,0,5,No,1,4,3,Technical Degree
507,29,Female,Sales,Sales Executive,4147,9,2,4,9,Yes,4,4,2,Technical Degree
508,22,Male,IT,Analyst,18941,19,14,3,0,No,4,2,2,Marketing
509,43,Female,Sales,Analyst,19621,13,8,9,3,No,4,2,4,Human Resources
510,38,Male,IT,HR Specialist,10609,13,7,8,13,No,3,1,4,Human Resources
511,28,Female,Finance,Developer,12737,12,10,8,0,No,4,3,2,Marketing
513,25,Male,IT,Analyst,15555,18,6,4,11,No,3,3,4,Other
514,57,Male,Sales,HR Specialist,11134,19,10,5,5,No,1,2,3,Technical Degree
515,27,Female,HR,HR Specialist,8606,9,7,3,7,No,2,3,1,Other
516,52,Male,IT,HR Specialist,14918,11,7,5,3,No,1,3,2,Other
520,47,Female,IT,Sales Executive,19076,7,0,7,4,Yes,2,3,4,Human Resources
521,40,Male,Sales,HR Specialist,7661,16,3,2,14,Yes,2,1,4,Technical Degree
522,24,Male,R&D,HR Specialist,19181,13,9,5,13,No,1,3,2,Technical Degree
523,34,Female,IT,Developer,13087,13,6,0,14,Yes,4,3,2,Marketing
524,49,Female,HR,HR Specialist,8682,18,5,4,2,Yes,3,1,4,Medical
525,41,Female,Sales,Research Scientist,8961,3,2,6,13,Yes,4,1,4,Other
526,49,Male,R&D,Analyst,8204,19,2,4,6,No,4,4,1,Human Resources
527,29,Female,IT,HR Specialist,10552,15,11,2,12,No,4,3,3,Other
528,22,Female,Sales,HR Specialist,19468,18,3,1,8,No,1,4,3,Human Resources
529,24,Female,Sales,Analyst,10084,18,13,1,0,No,4,2,1,Human Resources
530,34,Male,Finance,Manager,14080,12,9,8,14,No,1,4,2,Life Sciences
531,49,Male,Sales,Research Scientist,15879,6,5,1,7,No,2,2,4,Other
